date,spot_price,futures_price,future_continuous,futures_expiry,basis_absolute,basis_percent,annualized_basis,days_to_expiry
2024-01-26,2258.30,2271.00,,2024-02-23,12.70,0.56,7.33,28
2024-01-29,2303.20,2331.50,,2024-02-23,28.30,1.23,17.94,25
2024-01-30,2374.40,2361.00,,2024-02-23,-13.40,-0.56,-8.58,24
2024-01-31,2287.20,2291.50,,2024-02-23,4.30,0.19,2.98,23
2024-02-01,2298.55,2312.00,,2024-02-23,13.45,0.59,9.71,22
2024-02-02,2296.80,2307.00,,2024-02-23,10.20,0.44,7.72,21
2024-02-05,2291.75,2307.00,,2024-02-23,15.25,0.67,13.49,18
2024-02-06,2379.80,2384.50,,2024-02-23,4.70,0.20,4.24,17
2024-02-07,2438.95,2440.00,,2024-02-23,1.05,0.04,0.98,16
2024-02-08,2427.80,2435.00,,2024-02-23,7.20,0.30,7.22,15
2024-02-09,2491.05,2517.00,,2024-02-23,25.95,1.04,27.16,14
2024-02-12,2641.95,2672.50,,2024-02-23,30.55,1.16,38.37,11
2024-02-13,2628.70,2657.50,,2024-02-23,28.80,1.10,39.99,10
2024-02-14,2765.80,2797.50,,2024-02-23,31.70,1.15,46.48,9
2024-02-15,2830.30,2838.50,,2024-02-23,8.20,0.29,13.22,8
2024-02-16,2782.80,2803.50,,2024-02-23,20.70,0.74,38.79,7
2024-02-19,2934.55,2951.50,,2024-02-23,16.95,0.58,52.71,4
2024-02-20,2977.70,3020.50,,2024-02-23,42.80,1.44,174.88,3
